bigrm_nocap,eng_score
uw,11.212844207858497
aa,10.277465856808478
ab,4.795658227544347
ac,3.916940416220014
ad,4.423383231452395
ae,7.4282210511369176
af,6.117205323445587
ag,4.580187595127943
ah,7.241994826412807
ai,4.771815666932776
aj,9.474247800760379
ak,6.428996936881636
al,3.1077784666179347
am,4.097784696330316
an,2.8530721907682173
aN,6.157829243331035
ao,9.28232973178194
ap,4.601042998741662
aq,9.28232973178194
ar,2.6711594672551078
as,3.7877938449515995
at,2.682228340602596
au,5.087781758311838
av,5.28740782577143
aw,6.178578381288367
ax,7.531200699123188
ay,6.356279091278393
az,6.964699073901154
ba,2.4550410139008285
bb,4.524797946764326
bd,7.976644660427975
be,2.57885177079245
bf,10.274990942415826
bh,10.274990942415826
bi,3.2086216451918195
bj,7.714910738201378
bl,2.670133448549809
bm,10.274990942415826
bn,9.288271530725174
bo,2.775359144377959
bp,10.274990942415826
br,3.030568187015481
bs,5.351327507700583
bt,7.30155211903452
bu,3.08751215697006
bv,8.708746379620719
by,5.845505773729514
ca,2.5617156601158486
cc,5.610763522767738
cd,11.412457885109696
ce,2.928630613596503
ch,2.6241754287444796
ci,3.9128260870718274
ck,3.8368899634994715
cl,4.205746957282547
cm,11.412457885109696
cn,10.425738473419042
co,2.234925131579307
cq,9.846213322314588
cr,3.723138952183453
cs,8.630937130706826
ct,3.617705004540131
cu,3.7507469757519614
cw,11.412457885109696
cy,6.488794450394452
cz,9.846213322314588
da,3.6359201556357412
dd,4.754476418280725
de,1.7950976171852324
dg,5.053873094126281
dh,8.74489093074258
di,2.4421642576526628
dj,7.291743733471734
dk,10.723193629097349
dl,4.667055373425377
dm,8.163113424882901
dn,8.74489093074258
do,3.4787708736970036
dp,10.723193629097349
dr,4.169751265717961
ds,7.428864150333211
du,4.02683823171513
dv,7.428864150333211
dw,9.156949066302241
dy,4.999457581419526
dz,10.723193629097349
ea,4.473743850900001
eb,7.062828734816652
ec,4.851719812233152
ed,5.528400139501384
ee,4.94354537305343
ef,6.569282518927836
eg,6.218517966431317
eh,8.86793130211903
ei,6.655398596668688
ej,9.864951938399848
ek,8.86793130211903
el,3.974457072809769
em,4.95033352117934
en,3.1706132101059024
eN,8.974610371939534
eo,6.896279697151217
ep,5.689424458918763
eq,7.722809258087473
er,2.5949493637298717
es,4.3076445538594825
et,3.9988786612185483
eu,7.28506753166818
ev,6.154410186605559
ew,7.12291045535469
ex,5.45899390735695
ey,6.548533380970504
ez,9.215022797177102
fa,3.078871753566142
fe,2.7513882250936907
ff,2.6324754810239
fi,2.762700720601555
fj,9.719748954485508
fl,2.7401637438728423
fo,3.1513611562793744
fr,3.2276864482883503
ft,4.502620831932815
fu,3.7737405482570288
fy,5.579326513851891
ga,2.4745093575954025
gb,10.035206443397396
ge,2.0171825438368782
gg,4.606735911490963
gh,3.799822754671662
gi,3.6404065197945394
gl,3.7812146649180933
gm,5.894784002763779
gn,3.937267131565184
go,3.3943292424780296
gr,2.9794039282243
gu,3.466818645191262
gw,10.035206443397396
gy,5.310638587357336
ha,2.2613764501008085
hb,9.495475054793046
he,2.210266386237031
hf,10.482194466483698
hi,2.8773369726176803
hj,10.482194466483698
hl,6.8103321456205155
hm,7.050744570858083
hn,7.187864987719559
ho,2.7391956178789125
hp,10.482194466483698
hr,4.4474198769356885
hs,10.482194466483698
ht,5.021325259609538
hu,3.974540443053082
hw,8.91594990368859
hy,4.513477255667073
ia,4.189000271034252
ib,5.251050389864171
ic,3.084621643789131
id,4.189000271034252
ie,4.6475048353831925
if,5.497127667180681
ig,4.4973937435087175
ih,9.593581308795686
ij,10.905208179092885
ik,7.751505150149921
il,3.5186486770092684
im,4.116365563819035
in,2.3109986993432305
iN,5.415626945950082
io,3.9293919984612633
ip,5.065548860959469
iq,7.673630694028584
ir,4.439853157389699
is,3.0814753075913366
it,3.09410203367018
iu,6.3082836327974725
iv,4.890152055880056
iw,9.91362489242877
ix,7.751505150149921
iz,6.496600071551058
ja,1.9305924768751126
je,2.2004558983988227
ji,3.1168359567692834
jo,2.0026859305737865
ju,1.533522349725077
ka,4.210472501265786
kb,9.13413593598103
kd,9.13413593598103
ke,1.9370090322855895
kg,9.13413593598103
kh,6.574055731766581
ki,2.9756818104486826
kk,9.13413593598103
kl,4.120362207230589
kn,4.704650767294718
ko,5.076032953369756
kr,6.574055731766581
ks,7.155833237626261
kt,9.13413593598103
ku,5.462273615117848
kv,9.13413593598103
kw,8.147416524290376
ky,5.462273615117848
la,2.533643514565682
lb,7.930529017623998
lc,6.77484383446085
ld,5.878655290809357
le,1.8431749015820968
lf,7.631591182702205
lg,7.631591182702205
lh,10.036146775692073
li,2.81092082945292
lk,7.310209415079989
ll,3.2079911066894744
lm,6.877823482447121
ln,10.036146775692073
lo,3.2766973299651765
lp,6.77484383446085
lq,10.615671926796526
lr,9.624088640132411
ls,7.108863181726259
lt,5.094737315056564
lu,4.012104302411812
lv,6.988723085430928
lw,10.615671926796526
ly,5.311888295191975
ma,2.2862822776620475
mb,3.789826791277744
mc,9.837541273012247
md,9.837541273012247
me,2.5162669456448907
mf,8.525914402715049
mi,2.9018771292137417
mk,10.824260684702901
ml,8.525914402715049
mm,4.44632833747457
mn,6.5320787612957085
mo,2.9372056059089213
mp,3.055152759822781
mq,10.824260684702901
mr,10.824260684702901
ms,7.152398363839719
mt,10.824260684702901
mu,4.035673513600221
mv,10.824260684702901
my,5.9005972499876576
na,3.496380454094487
Na,4.261423370956165
nc,3.7420331433850493
nd,3.2514539774832585
ne,2.8759765277425764
Ne,1.6562633858354492
nf,6.381844119003926
nh,9.620669543201851
Nh,6.569033438029651
ni,3.608425741052213
Ni,5.989508286925196
nj,8.042313166299655
nk,5.045529878177231
Nk,7.555752849720304
nl,11.598972241556618
Nl,3.0622246929593833
nm,11.598972241556618
nn,5.001150182851114
no,4.14689780816278
No,3.6778814166279976
nq,7.820430850872933
nr,10.612252829865966
Nr,3.6778814166279976
ns,4.619387030943953
Ns,5.989508286925196
nt,2.421439488026231
Nt,7.555752849720304
nu,5.17101751518522
Nu,3.415330409086687
nv,6.3079027602945255
nx,8.45618189137624
ny,5.382439793270153
Ny,6.569033438029651
nz,8.167522345931005
oa,5.5363379355495415
ob,5.027498343200615
oc,4.518256234874214
od,4.745171947090555
oe,6.573201591476151
of,6.611643758607058
og,5.251989233640807
oh,8.35887981840323
oi,5.481911799412726
oj,10.80361030233819
ok,6.297773469273706
ol,3.5837708921551714
om,3.827794121706569
on,2.3404642885109537
oN,6.7335272150247665
oo,4.1078634152255
op,4.370854084329243
oq,8.23367063877188
or,2.7669591115636454
os,4.12861880467111
ot,3.982923301020649
ou,3.2830454985714006
ov,5.777239910604035
ow,4.755895820603687
ox,7.360844545342532
oy,6.53575724719973
oz,8.23367063877188
pa,2.624986637758001
pe,2.3405596486384295
ph,3.7604655023779503
pi,3.2736805618132654
pk,9.312293492884175
pl,3.378906257641415
pm,10.878538055679282
pn,8.900235357324513
po,2.933073829997118
pp,4.588035012384077
pr,2.9445680091231603
ps,5.62396558885017
pt,5.0028829257081044
pu,3.854908346181491
py,6.1539701996392235
qu,-0.25089163505501405
ra,2.65051913700144
rb,5.854597723457372
rc,5.669458073616064
rd,5.033466638377054
re,2.4321229575494128
rf,7.872629408356103
rg,5.87448861727206
rh,7.399383595933468
ri,2.8428482407480287
rj,11.026332437299066
rk,6.651646687855184
rl,6.489489611541694
rm,5.4747113686016835
rn,5.1620177529596605
ro,3.0281530535377414
rp,6.161631440118555
rq,8.87026149880934
rr,4.750136519856035
rs,5.276444457425683
rt,4.400963940009931
ru,4.310124529240434
rv,6.758479382160607
rw,10.446807286194613
ry,4.400963940009931
rz,9.714705567001868
sa,4.258139163665029
sb,9.006194523858591
sc,3.7154350075516867
sd,10.579555316382386
se,2.7811873849091175
sf,11.56627472807304
sg,10.000030165277932
sh,3.5482508285125225
si,3.7277116725285535
sk,5.553184924648231
sl,5.188342380844709
sm,5.312282949593738
sn,6.170947208840561
so,4.098173018840125
sp,3.8769557951467974
sq,6.467689753756272
sr,11.56627472807304
ss,3.810162278693407
st,2.2944195193728634
su,4.222956560175408
sw,5.924951493586108
sy,5.666785264188185
ta,3.2840477406449295
tc,6.136967292311946
te,2.0502597090541976
tf,10.95194224296325
tg,11.938661654653902
th,3.8567516574884957
ti,3.025122800173166
tk,11.938661654653902
tl,6.0157252289026175
tm,9.960358956299133
tn,9.640315372666052
to,3.8777342495981664
tr,3.443058238040559
ts,7.798239214020286
tt,4.731950726826755
tu,4.112480630121801
tw,7.014998219938659
ty,5.075456104740248
tz,9.157140900251035
ua,4.614160591472548
ub,4.629106026299294
uc,4.34378930787313
ud,4.472650492787216
ue,3.8923311932107927
uf,5.821143228544146
ug,4.644207909290645
uh,11.182548389678681
ui,4.36865717316455
uj,9.204245691323912
uk,8.0397580394983
ul,3.220012797356407
um,2.985574600933277
un,3.337833943088011
uN,6.75306322099237
uo,6.0839634153619135
up,4.804616042450351
ur,2.5814355825712125
us,2.5349543580945135
ut,3.6293446010686017
uu,10.195828977988029
uv,7.888218910914543
ux,8.0397580394983
uy,8.88420210769083
uz,7.888218910914543
va,2.405767955614429
ve,0.7827855454986385
vi,2.0381193413968806
vn,9.32833653786477
vo,3.1309049194318637
vr,8.341617126174116
vu,5.357536382079793
vv,6.546815783461901
vy,5.656474217001588
wa,2.138637863683956
wb,8.965016593508025
wd,5.53356669788241
we,2.6389035432423635
wg,8.965016593508025
wh,3.241280545830201
wi,2.6389035432423635
wk,6.404936389293576
wl,4.4101681077679835
wm,8.965016593508025
wn,4.535531424821713
wo,3.7478884709553317
wp,7.978297181817371
wr,4.294833152756828
ws,5.408357518251061
wt,7.978297181817371
wy,8.965016593508025
wz,7.978297181817371
xa,4.3407222788651785
xc,3.342869834222125
xe,3.7571803245370106
xh,5.336705475641466
xi,2.7113883229140736
xl,7.635051757629317
xo,4.3407222788651785
xp,2.964868316878121
xq,7.635051757629317
xs,7.635051757629317
xt,2.6212780288788764
xu,5.074971553414868
xy,5.656749059274548
ya,4.856373815145068
yb,7.801734551505543
yc,5.8092370940753355
yd,6.637246899679932
ye,5.22518876412027
yg,8.213792687065203
yh,9.780037249860312
yi,8.793317838169658
yj,9.780037249860312
yk,9.780037249860312
yl,5.003060894310778
ym,4.952489745833982
yn,4.952489745833982
yo,5.055469393820252
yp,5.166368996804059
yr,4.952489745833982
ys,4.952489745833982
yt,6.223378174603348
yu,8.793317838169658
yv,9.780037249860312
yw,9.780037249860312
yx,7.219957045645863
za,3.0691960372207117
ze,1.1639463421949978
zi,3.390577804842928
zl,3.483506527535597
zo,2.9989115087275917
zu,6.3746585489372505
zy,4.3879391372465975
zz,2.6368101045878443
