bigrm,mao_score
aa,11.063287379384843
EA,6.116895727722443
aI,11.063287379384843
OA,8.07001450267398
Uo,7.507207753232047
UI,7.507207753232047
ae,5.336874403489119
Ae,4.811818430673874
af,6.157989634997458
Af,4.091792716328467
ah,3.998637496706862
Ah,3.0916873957044633
ai,3.8650503740249746
Ai,4.255316455322332
ak,2.6680948244392466
Ak,2.8115606988742377
am,5.087497107682776
Am,4.255316455322332
an,4.110533993250389
aN,4.855309583819119
An,3.769822712739323
AN,4.439772704561143
ao,5.479844027759207
Ao,5.0919980167768655
ap,4.724905964682959
Ap,3.992243105410667
ar,2.840700208010744
Ar,2.423269365079823
at,3.807333271350011
At,3.0661504394190016
au,3.68967860237944
Au,4.439772704561143
aw,5.257433925291254
Aw,3.6896432644544714
ea,4.616906895503512
eA,8.976768379378152
Ea,5.120745419689629
ef,5.974680100141293
Ef,6.122487559962014
eh,4.043674103199512
Eh,3.3117437259958016
ei,4.330576701216388
Ei,6.122487559962014
ek,3.260124854125293
Ek,3.5342610132660828
em,5.451008746315277
Em,5.120745419689629
en,4.167065233317377
eN,5.11653727589348
En,3.3117437259958016
eo,6.652962053474614
ep,5.2196457029791805
er,2.755184957172818
Er,2.5338122314504714
et,3.4352189278171865
Et,2.5338122314504714
eu,6.515408273973693
Eu,5.120745419689629
ew,5.451008746315277
Ew,5.120745419689629
fa,0.5960822958471795
fA,3.423410498303428
fe,2.423315129667266
fE,4.207816963385215
fi,2.207573073381864
fI,6.056590550395501
fo,8.381612094533088
fO,8.381612094533088
fu,6.794194185006433
ha,2.0238508811226037
hA,3.44176197521197
he,2.5837390713826163
hE,6.442381353752132
hi,2.0070747613287088
hI,4.193897873690607
ho,2.634366992700192
hO,5.272070503149029
hu,2.312428170116067
hU,4.856952793648042
ia,4.5091797173576715
iA,6.942605184016712
Ia,4.2819729409934375
ie,6.679478321681093
Ie,6.2837150812658225
if,5.804793672716155
If,4.6972306748422765
ih,4.134758983244614
Ih,3.1116620903903347
ik,3.82108181497063
Ik,3.1116620903903347
im,5.942323468885773
Im,4.6972306748422765
in,3.8546359936586048
iN,5.679240809543775
In,3.581268736134843
IN,5.282610981438163
io,5.094197021921081
Io,4.6972306748422765
ip,4.90655002604561
Ip,4.2819729409934375
ir,3.2640032280704
Ir,2.6376409948229167
it,3.4958270806787137
It,2.757955448202947
iu,5.804793672716155
iU,8.265307410092591
iw,5.740651876857375
Iw,3.581268736134843
ka,1.2857807064183713
kA,4.2081853662379025
ke,2.876921258395816
kE,6.70338008542688
ki,2.678502741802816
kI,6.255785017711868
ko,2.4618741084643507
kO,2.670465235827623
ku,3.3168471624327034
kU,5.355142365394568
ma,1.429238484755768
mA,2.177724035334716
me,3.121195601661378
mE,7.238299607613871
mi,2.592781487788905
mI,6.822871277040481
mo,2.713082646359559
mO,3.91482794051357
mu,2.988735274521904
mU,6.822871277040481
na,1.1991239000945166
nA,5.229325146474243
Na,1.0349271234411994
NA,3.4773589303377066
ne,2.085939333576927
nE,6.815154234885741
Ne,2.6432570795259416
NE,8.004860703672966
ni,2.306074469791347
nI,7.23058256545913
Ni,2.44620179779998
NI,7.003118563400582
no,2.510098352109248
nO,6.492978930848198
No,2.245886770838003
NO,6.002014463572922
nu,2.8597035101199633
nU,8.818000474985785
Nu,3.7530462622239
NU,7.003118563400582
oa,4.397510541210537
oA,9.827833625451392
Oa,4.90212182483808
oe,5.736519374087642
Oe,6.4881884253868956
of,7.017089791485179
Of,3.984292083549801
oh,3.253843879964782
Oh,2.94229636561525
oi,4.364340548480001
oI,9.827833625451392
Oi,4.612504089236706
ok,3.269111307656183
Ok,3.2136330911564928
om,5.016493659742236
Om,3.9018112037656776
on,3.8464515215097537
oN,5.016493659742236
On,3.264266369204394
ON,5.487379788217619
op,4.575865864845096
Op,2.9841214868252512
or,2.5198935351574545
Or,2.071502675828618
ot,3.801360719846878
Ot,2.94229636561525
ou,4.7794227400889175
Ou,4.486931006402008
ow,7.017089791485179
Ow,4.612504089236706
pa,1.710342154417478
pA,3.0359636929097884
pe,2.8161717792159657
pE,6.018317349610402
pi,3.25229383262294
pI,4.339854613203219
po,2.7698760702997163
pO,3.432877768969625
pu,2.9647013605785193
pU,2.8803050757284545
ra,1.6066132209995545
rA,5.443945065943413
re,1.920157802326959
rE,6.707309440416349
ri,2.109822092577197
rI,5.636624649866567
ro,2.314443608468825
rO,6.859373396516802
ru,2.8095323441145537
rU,6.221723241331515
ta,1.5183210321615266
tA,3.1162589045142233
te,2.866272043425907
tE,6.4517157619440155
ti,2.3714941182003457
tI,3.979981591169835
to,2.7917227966378984
tO,5.387316234285599
tu,2.7813805434400245
tU,4.077835765002238
ua,3.8301674757840054
uA,6.439455426059107
Ua,4.509315304926847
UA,7.512799585471617
ue,5.673689640871281
uE,9.76500389223503
Ue,7.512799585471617
uf,5.513189450785963
Uf,4.187251119295694
uh,3.9535586059018697
Uh,3.6021022720797613
ui,4.7165930068725554
uI,8.763261751962645
Ui,7.512799585471617
uk,3.5320678628834092
Uk,2.7014596197624616
um,4.175968708369823
Um,4.702055751505405
un,4.4034002680880056
uN,5.368770635509325
Un,3.9241242569600754
UN,3.9241242569600754
uo,6.76151961169026
up,4.3686314159701976
Up,3.339004454323745
ur,2.6947621773174775
Ur,2.3388429572000633
ut,3.7609002331500982
Ut,2.9238867448227577
uw,8.177585982708376
Uw,4.187251119295694
wa,0.6881343862668035
wA,4.043380523558209
we,1.553629293883342
wE,5.422547464823987
wi,2.6991581235990996
wI,5.422547464823987
wO,7.747569008961574
wu,6.745826868689189
wU,7.747569008961574
