bigrm_nocap,mao_score_nolong
aa,11.353738424748757
ae,5.221036954551233
af,5.490434293534686
ah,3.7863131782997703
ai,3.9295454804544714
ak,2.69621254499233
am,4.892776855482739
an,4.042617995987503
aN,4.76785915896011
ao,5.394935144144136
ap,4.559318348252059
ar,2.758007164348953
at,3.642249740561759
au,3.8015434774889956
aw,4.813445200844298
ea,4.568707771974839
ef,5.950070382227571
eh,3.9779288647645057
ei,4.389811777028175
ek,3.2746611846750753
em,5.405418613793995
en,4.087359310264293
eN,5.194775601431016
eo,6.690631915830368
ep,5.296254850571485
er,2.739977732635428
et,3.3544976514141793
eu,6.325998739072101
ew,5.405418613793995
fa,0.40739950899868876
fe,2.0514861798092108
fi,2.1063129585501885
fo,7.1161382108352536
fu,6.60827360413382
ha,1.566908911116309
he,2.4867514023198005
hi,1.722011261544919
ho,2.418821633738485
hu,2.0846741763441163
ia,4.261290546793407
ie,6.587728351420872
if,5.609919477873251
ih,3.973416288396355
ik,3.719794247904779
im,5.715100705838714
in,3.8188889813657667
iN,5.609919477873251
io,5.0325244087036065
ip,4.812310277359899
ir,3.17859212596972
it,3.3909099839483186
iu,5.715100705838714
iw,5.252384619769027
ka,1.1104567527843405
ke,2.779356220739171
ki,2.5636901619497934
ko,1.565370716245809
ku,3.002535581234505
ma,0.7573302741270556
me,3.032703178654864
mi,2.513842853809401
mo,2.18992204104083
mu,2.884476288353511
na,1.1145580796266101
Na,0.7907008865026154
ne,2.0308537403253313
Ne,2.5968422740766295
ni,2.2566216132172636
Ni,2.376628142732922
no,2.4180732855421945
No,2.135391591821325
nu,2.8305488420643146
Nu,3.5817938977992245
oa,4.4628286404607405
oe,5.849119565176657
of,5.591300928283779
oh,3.175600765976436
oi,4.3840438757876585
ok,3.255169766971068
om,4.6653451161347785
on,3.6880359656303705
oN,5.096547134244631
op,4.02403073535249
or,2.4056267242247573
ot,3.552615075107029
ou,4.696744557024522
ow,5.997668426126937
pa,1.228077286961046
pe,2.6653667908906877
pi,2.6938088533795077
po,2.063844377556336
pu,1.9225089936434188
ra,1.5119046768149125
re,1.8711660182134306
ri,1.99191893876959
ro,2.25555290302115
ru,2.680590401859606
ta,1.1096672980625333
te,2.750828201238309
ti,1.9642490736545009
to,2.571382885730278
tu,2.2898949254262035
ua,3.7099153568312557
ue,5.758472080187947
uf,5.159802807859285
uh,3.88107275805893
ui,4.852115229706696
uk,3.3471499517156675
um,4.2468207429677935
un,4.299819061839326
uN,4.976039790643965
uo,6.962877035419514
up,4.122264657100936
ur,2.6267448295761806
ut,3.573146898334024
uw,6.29102594550037
wa,0.5527806350600669
we,1.453332430179904
wi,2.482142872253345
wo,7.29335611455934
wu,5.97380115542012
